date,apy,tvl_usd
2023-08-07,2.19534,57993936
2023-08-08,2.63048,44574698
2023-08-09,2.76966,40551665
2023-08-10,2.7226,42489449
2023-08-11,9.93342,33759967
2023-08-12,2.87961,39417208
2023-08-13,3.88037,38650995
2023-08-14,2.61741,49423155
2023-08-15,2.82862,43092911
2023-08-16,2.61301,49774124
2023-08-17,2.52462,51069242
2023-08-18,2.87389,40735756
2023-08-19,2.71042,45486858
2023-08-20,2.64761,46980708
2023-08-21,2.55074,50382328
2023-08-22,2.80248,41544812
2023-08-23,2.62308,48400098
2023-08-24,2.6309,48234212
2023-08-25,2.68175,46511757
2023-08-26,2.66529,47255563
2023-08-27,2.75724,44587182
2023-08-28,8.3808,36614441
2023-08-29,3.84725,40357193
2023-08-30,3.31949,41325298
2023-08-31,2.70181,47420326
2023-09-01,2.58349,51212911
2023-09-02,2.58976,50886956
2023-09-03,2.58296,51175452
2023-09-04,2.79487,45201510
2023-09-05,2.8304,44113652
2023-09-06,2.75885,46861619
2023-09-07,2.69702,49661232
2023-09-08,2.72336,48843645
2023-09-09,2.90596,42779819
2023-09-10,3.03179,42316225
2023-09-11,4.81042,40541299
2023-09-12,2.84428,43514870
2023-09-13,2.62008,53557642
2023-09-14,2.71194,50402292
2023-09-15,2.70743,50508310
2023-09-16,2.76206,48285493
2023-09-17,5.514,41653131
2023-09-18,5.74679,42504120
2023-09-19,3.51066,44515832
2023-09-20,3.58445,44825995
2023-09-21,2.80172,48411387
2023-09-22,2.71329,51713909
2023-09-23,2.76214,50150298
2023-09-24,2.74056,50839114
2023-09-25,2.12811,82353713
2023-09-26,2.17145,80532585
2023-09-27,2.2343,79531850
2023-09-28,2.58809,64370128
2023-09-29,2.66345,61096379
2023-09-30,4.57119,46450725
2023-10-01,3.86145,48165789
2023-10-02,8.0799,45150247
2023-10-03,3.20176,51985640
2023-10-04,5.84814,49522219
2023-10-05,3.88055,52257478
2023-10-06,4.68155,51511824
2023-10-07,4.22292,53166014
2023-10-08,2.73143,57385196
2023-10-09,3.77202,50454780
2023-10-10,2.48082,65830716
2023-10-11,2.61741,60539092
2023-10-12,2.77449,54783261
2023-10-13,2.8081,53359517
2023-10-14,4.02114,49192939
2023-10-15,2.85509,51712676
2023-10-16,23.05094,33410145
2023-10-17,7.89382,48377873
2023-10-18,5.55789,51054672
2023-10-19,5.14738,51419777
2023-10-20,6.09806,50494972
2023-10-21,4.22554,53742901
2023-10-22,2.96063,56561657
2023-10-23,6.99092,51169544
2023-10-24,4.24838,55634983
2023-10-25,4.67578,55788427
2023-10-26,2.9978,58646707
2023-10-27,10.82917,50751295
2023-10-28,3.70751,59906798
2023-10-29,4.05076,59177312
2023-10-30,6.36674,55756905
2023-10-31,4.3206,58278837
2023-11-01,5.95594,56746762
2023-11-02,8.56312,53278749
2023-11-03,6.02008,56517030
2023-11-04,6.93637,55497246
2023-11-05,9.23678,52727674
2023-11-06,4.68834,57817645
2023-11-07,5.10063,57117823
2023-11-08,4.79897,57901683
2023-11-09,8.11035,54409659
2023-11-10,8.30835,53910281
2023-11-11,2.84865,59386405
2023-11-12,5.89301,54714787
2023-11-13,7.38109,54312323
2023-11-14,6.5498,56513193
2023-11-15,5.37899,59337854
2023-11-16,5.59764,59528790
2023-11-17,4.02427,62288053
2023-11-18,4.47281,61770447
2023-11-19,4.7041,61477518
2023-11-20,7.81981,58251642
2023-11-21,2.80525,69516012
2023-11-22,2.75101,72893699
2023-11-23,6.08446,63382152
2023-11-24,2.44584,91770008
2023-11-25,2.7555,74651658
2023-11-26,6.99846,62211920
2023-11-27,3.3929,58734550
2023-11-28,3.48428,56019355
2023-11-29,3.48786,56304002
2023-11-30,6.53216,31169972
2023-12-01,11.42918,28671945
2023-12-02,3.63711,51196396
2023-12-03,3.94714,38716399
2023-12-04,4.04237,34995439
2023-12-05,5.83244,33707614
2023-12-06,3.92916,40819250
2023-12-07,6.24797,36209630
2023-12-08,14.57508,30923185
2023-12-09,3.19863,74006604
2023-12-10,3.53206,58469978
2023-12-11,6.78778,34932378
2023-12-12,7.39834,34753146
2023-12-13,27.63539,24960630
2023-12-14,8.75866,36542771
2023-12-15,6.74256,37622268
2023-12-16,4.04795,40534772
2023-12-17,5.70752,39372427
2023-12-18,3.6151,65110430
2023-12-19,3.97115,46359910
2023-12-20,3.74733,57960794
2023-12-21,13.16424,35810003
2023-12-22,4.04639,42721888
2023-12-23,7.30468,40493492
2023-12-24,7.23495,41201305
2023-12-25,6.93804,41435364
2023-12-26,8.97662,40132936
2023-12-27,10.24621,38560953
2023-12-28,10.36869,39188745
2023-12-29,10.04391,39535132
2023-12-30,5.50656,42589797
2023-12-31,8.42181,40556672
2024-01-01,8.156,40795006
2024-01-02,7.43205,41890103
2024-01-03,4.71136,43568665
2024-01-04,7.59076,41688353
2024-01-05,3.8656,62484371
2024-01-06,3.84326,64373409
2024-01-07,9.10035,48122027
2024-01-08,10.11645,47359042
2024-01-09,4.03524,54555100
2024-01-10,16.2572,43749426
2024-01-11,6.6564,53735644
2024-01-12,3.93832,64927389
2024-01-13,3.87505,71305446
2024-01-14,6.96244,56015180
2024-01-15,4.85289,60069134
2024-01-16,9.06926,55433676
2024-01-17,5.57616,59214182
2024-01-18,4.69298,72327662
2024-01-19,4.67235,71886517
2024-01-20,4.67626,71933257
2024-01-21,13.28863,51229166
2024-01-22,12.94407,51081508
2024-01-23,4.52635,75098657
2024-01-24,4.61245,70627067
2024-01-25,4.55331,75275144
2024-01-26,4.55292,75314902
2024-01-27,4.57511,73334683
2024-01-28,4.66647,67996449
2024-01-29,4.11339,96938572
2024-01-30,4.45182,75272238
2024-01-31,4.23605,90295583
2024-02-01,4.24976,88965123
2024-02-02,4.24305,89410123
2024-02-03,4.28909,86753579
2024-02-04,4.32822,85029647
2024-02-05,4.4238,79001011
2024-02-06,4.38574,80951850
2024-02-07,4.60337,68883244
2024-02-08,10.09912,50439730
2024-02-09,12.31807,47949695
2024-02-10,10.10521,50416856
2024-02-11,13.07128,47962973
2024-02-12,9.48345,51339096
2024-02-13,10.13446,50966021
2024-02-14,5.70517,56066546
2024-02-15,10.60425,51890696
2024-02-16,8.35452,53954662
2024-02-17,6.11728,55566935
2024-02-18,7.93533,53967680
2024-02-19,7.4636,54801276
2024-02-20,5.06143,57287292
2024-02-21,4.35323,90771596
2024-02-22,4.62697,74381427
2024-02-23,4.75882,66714532
2024-02-24,4.74859,68258380
2024-02-25,9.00384,57675510
2024-02-26,9.05364,58190272
2024-02-27,9.45942,57840225
2024-02-28,14.69184,53523127
2024-02-29,4.2204,116395220
2024-03-01,8.40431,66651593
2024-03-02,13.04498,60755496
2024-03-03,12.79392,61086317
2024-03-04,16.3126,57463630
2024-03-05,10.55232,64858475
2024-03-06,15.86224,57753156
2024-03-07,19.19756,54893140
2024-03-08,11.49876,64624242
2024-03-09,11.42896,65260080
2024-03-10,9.5317,67639567
2024-03-11,16.99104,60441769
2024-03-12,9.1773,67685768
2024-03-13,20.55144,57902653
2024-03-14,15.44364,64129005
2024-03-15,4.83615,82478249
2024-03-16,8.18769,76720889
2024-03-17,13.09456,71438406
2024-03-18,10.49745,75638102
2024-03-19,10.75526,72510238
2024-03-20,5.82408,83230466
2024-03-21,7.05286,81840987
2024-03-22,4.65271,104260725
2024-03-23,7.79387,84588578
2024-03-24,6.67737,87068018
2024-03-25,9.34109,84680657
2024-03-26,8.68053,86293751
2024-03-27,11.48521,83533619
2024-03-28,4.81508,102251067
2024-03-29,7.41211,92759769
2024-03-30,9.17664,89799349
2024-03-31,4.26336,165174727
2024-04-01,6.33465,97090412
2024-04-02,4.84242,102357984
2024-04-03,6.46692,99122714
2024-04-04,11.86891,90181551
2024-04-05,9.0959,93941752
2024-04-06,7.87955,97356765
2024-04-07,9.56465,95967109
2024-04-08,11.15302,94761329
2024-04-09,4.85998,106280486
2024-04-10,9.3279,116065989
2024-04-11,9.26409,119227617
2024-04-12,9.65268,97876893
2024-04-13,16.6985,69266123
2024-04-14,9.41389,101144311
2024-04-15,9.69233,87145774
2024-04-16,7.36032,219403258
2024-04-17,7.40254,216208832
2024-04-18,7.16368,225858864
2024-04-19,7.04936,236395598
2024-04-20,6.98307,243283377
2024-04-21,6.64288,269623707
2024-04-22,6.44386,288045534
2024-04-23,6.39236,292333684
2024-04-24,6.00717,325420551
2024-04-25,6.12149,316048637
2024-04-26,6.0872,321276725
2024-04-27,5.34516,401378913
2024-04-28,5.31257,404216963
2024-04-29,5.5096,384899708
2024-04-30,5.54368,383184643
2024-05-01,5.48184,389700565
2024-05-02,5.75068,369294987
2024-05-03,5.61083,384713944
2024-05-04,5.53428,393600210
2024-05-05,5.70787,379319109
2024-05-06,4.39968,369739150
2024-05-07,4.37588,373259343
2024-05-08,4.38675,372050228
2024-05-09,4.29183,389354637
2024-05-10,4.45847,373640357
2024-05-11,4.27771,398329127
2024-05-12,4.34711,390611836
2024-05-13,4.38823,382547233
2024-05-14,4.46011,375764673
2024-05-15,4.72165,340271749
2024-05-16,5.01783,305247574
2024-05-17,5.71469,231089280
2024-05-18,5.77404,222229403
2024-05-19,5.7215,226808921
2024-05-20,5.73954,228945474
2024-05-21,5.39732,269755243
2024-05-22,5.54685,255225753
2024-05-23,6.64473,163742787
2024-05-24,6.68081,161846170
2024-05-25,6.68735,162101934
2024-05-26,6.59838,170020812
2024-05-27,6.61995,170637731
2024-05-28,6.58398,178071766
2024-05-29,6.61832,175641196
2024-05-30,6.78268,161466329
2024-05-31,6.60974,178831168
2024-06-01,6.77948,163831208
2024-06-02,6.9347,149610849
2024-06-03,7.01027,142940859
2024-06-04,8.23674,104087304
2024-06-05,7.77949,105099892
2024-06-06,7.39565,112461279
2024-06-07,6.53898,200778997
2024-06-08,6.67133,190252359
2024-06-09,6.66965,190260163
2024-06-10,6.80228,175877008
2024-06-11,7.14781,141167836
2024-06-12,7.10526,145065106
2024-06-13,6.92413,165133093
2024-06-14,6.96671,161095973
2024-06-15,6.87093,170129836
2024-06-16,6.85518,170770587
2024-06-17,6.81018,175425528
2024-06-18,6.55649,202995234
2024-06-19,6.53168,205340935
2024-06-20,6.17518,247549545
2024-06-21,4.82948,446655204
2024-06-22,4.85682,444639255
2024-06-23,4.87886,441996071
2024-06-24,4.93514,427741703
2024-06-25,4.82432,450912157
2024-06-26,4.93061,433650999
2024-06-27,4.81008,461295353
2024-06-28,4.80133,464542033
2024-06-29,4.6728,493294161
2024-06-30,4.78929,472094768
2024-07-01,5.43356,380934176
2024-07-02,5.48804,372221802
2024-07-03,5.42195,378816336
2024-07-04,5.24877,393713584
2024-07-05,5.1508,402969336
2024-07-06,5.11344,405321706
2024-07-07,5.14945,400121268
2024-07-08,5.05137,412743527
2024-07-09,5.05445,410320245
2024-07-10,5.3917,356390177
2024-07-11,5.46939,344706819
2024-07-12,5.47474,343974506
2024-07-13,5.45464,346771467
2024-07-14,5.44735,349713590
2024-07-15,5.96639,286554644
2024-07-16,5.97344,285989845
2024-07-17,5.81522,307275908
2024-07-18,5.9535,294186215
2024-07-19,5.89929,298462946
2024-07-20,5.80992,312468353
2024-07-21,5.78935,317828551
2024-07-22,5.8681,310311459
2024-07-23,5.82085,316352556
2024-07-24,5.75522,327984720
2024-07-25,4.12285,327889254
2024-07-26,4.21088,313963433
2024-07-27,4.28965,300339722
2024-07-28,4.31385,297088435
2024-07-29,4.31128,299849626
2024-07-30,4.38681,287187717
2024-07-31,4.54451,260128694
2024-08-01,4.44735,277452181
2024-08-02,4.22133,319608035
2024-08-03,4.2686,301835446
2024-08-04,4.16733,314828958
2024-08-05,3.98394,303020446
2024-08-06,4.14802,282410482
2024-08-07,3.8316,330147283
2024-08-08,4.3329,255499644
2024-08-09,4.14015,288120753
2024-08-10,4.02071,305454856
2024-08-11,3.78085,344594328
2024-08-12,3.84378,330983181
2024-08-13,3.89629,325319686
2024-08-14,3.92837,319614325
2024-08-15,3.81884,340331415
2024-08-16,3.80242,342766452
2024-08-17,3.90216,327352565
2024-08-18,3.85108,335303108
2024-08-19,3.8387,339716724
2024-08-20,3.83633,340534778
2024-08-21,3.74783,355589646
2024-08-22,3.77427,349943541
2024-08-23,3.83598,340214578
2024-08-24,3.90391,328649137
2024-08-25,4.10105,299150474
2024-08-26,4.11255,299012395
2024-08-27,3.94036,320896710
2024-08-28,3.88254,331735895
2024-08-29,3.87769,332070978
2024-08-30,3.72433,361579494
2024-08-31,3.67922,370959738
2024-09-01,3.75192,355135213
2024-09-02,3.71567,364925277
2024-09-03,3.55673,398115521
2024-09-04,3.54896,399254845
2024-09-05,3.64717,379160524
2024-09-06,3.58182,382728991
2024-09-07,3.48287,403204344
2024-09-08,3.32321,429139029
2024-09-09,3.33821,430239673
2024-09-10,2.72204,456326197
2024-09-11,2.67578,470963178
2024-09-12,2.61531,491122517
2024-09-13,2.61858,493435490
2024-09-14,2.6079,501427280
2024-09-15,2.76245,468698685
2024-09-16,5.45103,346904143
2024-09-17,2.85746,448137759
2024-09-18,2.94477,428403359
2024-09-19,2.98669,422177651
2024-09-20,3.03451,415200424
2024-09-21,3.08079,409333986
2024-09-22,3.02179,422872989
2024-09-23,3.08628,409199796
2024-09-24,3.19252,387825248
2024-09-25,3.36058,350845273
2024-09-26,3.33628,358145207
2024-09-27,3.62401,300622589
2024-09-28,3.62693,300563826
2024-09-29,3.84545,254473268
2024-09-30,4.01216,223080468
2024-10-01,3.86078,252862875
2024-10-02,3.74157,279871431
2024-10-03,3.78614,271831207
2024-10-04,3.93162,244175192
2024-10-05,3.90436,250664067
2024-10-06,3.966,238416134
2024-10-07,4.15792,202667438
2024-10-08,4.10672,211911989
2024-10-09,3.62177,316763345
2024-10-10,3.46088,347961324
2024-10-11,3.58784,317227963
2024-10-12,3.60158,315448247
2024-10-13,3.55557,326588941
2024-10-14,3.72013,295288527
2024-10-15,3.98461,243335258
2024-10-16,4.08092,226284264
2024-10-17,4.02378,239216931
2024-10-18,4.09467,225926313
2024-10-19,4.25525,196034217
2024-10-20,4.461,157945531
2024-10-21,4.47577,155839135
2024-10-22,4.50397,150322224
2024-10-23,4.15913,214247557
2024-10-24,4.16076,214874468
2024-10-25,3.78123,292458551
2024-10-26,3.8187,283368748
2024-10-27,3.87197,270586988
2024-10-28,3.8259,286815759
2024-10-29,4.04695,239879212
2024-10-30,4.23741,203126770
2024-10-31,4.26529,201606204
